observer_id,observed_id,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,f2_0,f2_1,f2_2,f2_3,f2_4,f2_5,f2_6,f2_7,f2_8,f2_9,f3_0,f3_1,f3_2,f3_3,f3_4,f3_5,f3_6,f3_7,f3_8,f3_9,f4_0,f4_1,f4_2,f4_3,f4_4,f4_5,f4_6,f4_7,f4_8,f4_9,f5
remora4,remora2,19.97,20.02,19.98,19.98,19.98,19.96,19.95,20.01,20.02,20.00,19.97,20.02,19.98,19.98,19.98,19.96,19.95,20.01,20.02,20.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,184.34
remora4,remora2,19.98,19.95,20.03,20.01,19.98,19.98,19.96,19.99,20.01,19.97,19.98,19.95,20.03,20.01,19.99,19.98,19.96,19.99,20.01,19.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,181.66
remora4,remora2,19.99,19.95,20.02,20.04,20.00,19.98,19.98,20.01,20.03,20.01,19.99,19.95,20.02,20.04,20.00,19.98,19.98,20.01,20.03,20.01,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,182.09
remora4,remora2,19.99,19.98,19.96,20.01,20.03,19.99,19.98,19.97,20.00,20.03,19.99,19.98,19.96,20.01,20.03,19.99,19.98,19.97,20.00,20.03,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,182.86
remora4,remora2,20.00,19.99,19.98,19.99,20.04,20.02,19.99,19.97,19.96,20.03,20.00,19.99,19.98,19.99,20.04,20.02,19.99,19.98,19.96,20.03,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,182.47
remora4,remora2,20.04,19.99,20.00,19.97,19.98,20.02,20.00,19.99,19.98,19.97,20.04,19.99,20.00,19.97,19.98,20.02,20.00,19.99,19.98,19.97,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,184.06
remora4,remora2,19.97,19.97,20.03,20.02,19.99,19.98,19.97,20.00,20.05,19.99,19.97,19.97,20.03,20.02,19.99,19.98,19.97,20.00,20.05,19.99,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,183.65
remora4,remora5,19.73,19.77,19.79,19.85,19.87,19.86,19.84,19.84,19.89,19.92,19.73,19.77,19.79,19.85,19.87,19.86,19.84,19.84,19.89,19.92,2.10,2.10,2.10,2.10,2.10,2.10,2.10,2.10,2.10,2.10,2.10,2.10,2.10,2.10,2.10,2.10,2.10,2.10,2.10,2.10,183.80
remora4,remora5,19.99,20.03,19.98,19.97,19.97,19.94,19.96,20.00,19.98,19.98,19.98,20.03,19.98,19.97,19.97,19.94,19.96,20.01,19.98,19.98,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,184.29
remora4,remora5,19.95,20.00,20.03,19.98,19.97,19.97,20.00,20.02,20.00,19.98,19.95,19.99,20.03,19.99,19.97,19.97,20.00,20.02,20.00,19.98,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,181.62
remora4,remora5,19.98,19.99,20.04,19.99,19.99,19.99,19.99,20.03,20.01,19.99,19.98,19.99,20.04,19.99,19.99,19.99,19.99,20.03,20.01,19.99,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.12,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.12,182.05
